+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                            ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                        ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_82                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_81                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_80                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_79                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_78                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_77                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_76                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_75                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_125                                                                                                  ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_74                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_73                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_72                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_71                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_70                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_69                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_68                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_67                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_66                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_65                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_64                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_63                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_62                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_61                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_60                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_124                                                                                                  ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_44                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_43                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_42                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_41                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_40                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_39                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_38                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_37                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_36                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_35                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_34                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_33                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_32                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_31                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_30                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_122                                                                                                  ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_59                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_58                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_57                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_56                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_55                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_54                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_53                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_52                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_51                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_50                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_49                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_48                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_47                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_46                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_45                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_123                                                                                                  ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_29                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_28                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_27                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_26                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_25                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_24                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_23                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_22                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_21                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_20                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_19                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_18                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_17                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_16                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_15                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_121                                                                                                  ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_14                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_13                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_12                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_11                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_10                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_9                                                                                                    ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_8                                                                                                    ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_7                                                                                                    ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_6                                                                                                    ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_5                                                                                                    ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_4                                                                                                    ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_3                                                                                                    ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_2                                                                                                    ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_0                                                                                                    ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_1                                                                                                    ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs|instance_gen_grant_carry_120                                                                                                  ; 3     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|outputArbs                                                                                                                               ; 74    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|inputArbs|instance_gen_grant_carry_119                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|inputArbs|instance_gen_grant_carry_118                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|inputArbs|instance_gen_grant_carry_117                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|inputArbs|instance_gen_grant_carry_116                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|inputArbs|instance_gen_grant_carry_115                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|inputArbs|instance_gen_grant_carry_114                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; lvds_echo_fpga12_4bit_0|F2|T1|noc|net_routers_router_core_3|routerAlloc|inputArbs|instance_gen_grant_carry_113                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
